gene,log2FC,pvalue,mean_normal,mean_tumor,adj_pvalue,significant
C6orf57,-2.082789970904977,5.254599683474592e-06,8.585872137058823,6.503082166153846,4.107054340750463e-05,True
KCNJ8,-2.507671952673925,5.263786233820225e-06,6.859732966294117,4.352061013620192,4.1127488323835525e-05,True
CFH,-3.162546368941742,5.297251319284703e-06,8.951354305470588,5.788807936528846,4.1329257949053214e-05,True
AOX1,-2.430922844550904,5.3343635046888985e-06,5.026996113147058,2.5960732685961543,4.1588812405024975e-05,True
DLGAP5,2.0825619103042987,5.3601990651667e-06,3.2681073831764706,5.350669293480769,4.1775182555793066e-05,True
VTI1B,-2.2869210338114616,5.379598635186834e-06,7.510218027529412,5.22329699371795,4.189526544351583e-05,True
RASD1,-2.6969981056662906,5.4720986834510985e-06,10.72829533664706,8.031297230980769,4.254636748882643e-05,True
RGCC,-1.859537178977658,5.507500450890576e-06,6.723364578088234,4.863827399110576,4.278447836804942e-05,True
C10orf10,-3.1864743533048623,5.571106901691034e-06,8.11615449735294,4.929680144048077,4.315204465709892e-05,True
OLFML1,-2.4085116773535074,5.649678316019303e-06,5.710759740882353,3.302248063528846,4.370067585522976e-05,True
ACSS2,-2.250164459881222,5.689831864359619e-06,8.47441432882353,6.224249868942308,4.3979818644308816e-05,True
FBLN5,-2.898875287146492,5.7321440673416715e-06,7.376354225117646,4.477478937971155,4.418059739826757e-05,True
CAMK1,-2.4380897817166294,5.736523505605952e-06,5.413434744764706,2.975344963048077,4.418287150010138e-05,True
SEMA4B,1.8858877822924214,5.772948377201587e-06,5.234134594294117,7.1200223765865385,4.443532894655679e-05,True
HOXA5,-1.771612211651584,5.77340927519164e-06,5.699884628882353,3.9282724172307693,4.443532894655679e-05,True
RP11-334C17.5,1.9560887233919688,5.869401443770261e-06,4.180520133117646,6.136608856509615,4.506192343363009e-05,True
CAV1,-4.030547131845589,5.963823719405079e-06,11.465583421970589,7.435036290125,4.567656010926376e-05,True
MFAP5,-3.38164122718043,6.0624783314970426e-06,8.589663135215686,5.208021908035255,4.6346897067822796e-05,True
GCH1,1.7169518875079186,6.284772422033678e-06,5.545648045588235,7.262599933096154,4.7843438195178963e-05,True
TNS1,-2.4270241407125566,6.35796030002207e-06,7.725797627552941,5.298773486840385,4.83325618731474e-05,True
IL33,-2.321264498493213,6.4543360712844e-06,5.488376570647059,3.167112072153846,4.896197787596003e-05,True
DCUN1D3,-1.7393706626450793,6.679542164947279e-06,6.355458155294118,4.616087492649038,5.052863452399803e-05,True
KIAA0101,2.5925615257763006,6.708429913569359e-06,4.807974318882353,7.400535844658654,5.069398574225396e-05,True
DMRT2,-1.8214238519341062,6.784444968221477e-06,4.283384900323529,2.461961048389423,5.122191714966778e-05,True
RGN,-2.162506979179298,6.85841986198413e-06,4.908199900823528,2.7456929216442303,5.1647028790124136e-05,True
HIST1H2BK,1.6497669500316734,6.898782173810968e-06,7.704085672352941,9.353852622384615,5.1878746030726555e-05,True
FADS3,-2.401038442084559,6.940847592304399e-06,7.921508986147059,5.5204705440625,5.2140707520661686e-05,True
GHR,-4.81513107833371,6.949158308003617e-06,9.984172699352941,5.169041621019231,5.2185019088392314e-05,True
SGK2,-2.233953040136594,6.978231891255046e-06,4.890180470852941,2.6562274307163465,5.234883736730337e-05,True
CCNDBP1,-1.765545504530543,7.120124848416078e-06,8.279494429588235,6.513948925057692,5.326552596662581e-05,True
MARC1,-3.8960211016781683,7.231175620092625e-06,8.871041271764707,4.975020170086538,5.402157615355799e-05,True
DCLK1,-1.6848273112982186,7.320683292268886e-06,6.829333964882354,5.144506653584135,5.453959470669331e-05,True
FILIP1L,-1.5851796193063725,7.490932370082692e-06,5.766921033098039,4.181741413791666,5.563553787392346e-05,True
TSLP,-2.5271010406674206,7.622498133114568e-06,4.960272423705882,2.433171383038461,5.647696818833345e-05,True
GALNT15,-2.473166559299586,7.69193415327725e-06,5.313856324411765,2.840689765112179,5.689401552347122e-05,True
NFIL3,-2.2977962034457002,7.732765905819923e-06,8.07723552417647,5.779439320730769,5.715694922187018e-05,True
HOXD-AS2,-2.2546377945497738,7.748322752815104e-06,5.630656086588235,3.3760182920384616,5.723283125884424e-05,True
MS4A4A,-2.440528859100113,7.829517144191794e-06,6.191953072705882,3.751424213605769,5.777339816322969e-05,True
EGR1,-2.0253962870235664,7.842299550337177e-06,10.11952727072549,8.094130983701923,5.784798867083016e-05,True
ORC6,2.2322779716148187,7.857773225493751e-06,4.940793025529412,7.17307099714423,5.7922631595760574e-05,True
GPR146,-3.7195802372895934,7.902180550982847e-06,7.349278437058824,3.6296981997692304,5.8230134952491114e-05,True
ELMOD3,-2.5015952078925343,7.968792848124832e-06,6.119647434411765,3.6180522265192305,5.8641099751422024e-05,True
EPDR1,-3.1442603529807687,7.984523982467111e-06,6.629114019999999,3.4848536670192307,5.873688417568036e-05,True
TTC7B,-2.1520889919813344,8.050563486714534e-06,6.408398308529412,4.256309316548077,5.9182446834885814e-05,True
HLF,-2.5174021127592376,8.059658806342391e-06,5.525385969647059,3.007983856887821,5.9229184196745115e-05,True
MAP7D1,-1.5493270430282804,8.356055206936713e-06,8.153663621470589,6.604336578442308,6.11261243195994e-05,True
EIF4E3,-1.767248342406674,8.479823087939258e-06,5.960297985647059,4.193049643240385,6.191730425500029e-05,True
