gene,tabnet_importance,tabnet_rank,mean_abs_shap,shap_rank
TFF1,0.0,361,0.03529739,46
SLC16A6,0.0,362,0.08117899,14
SFRP1,0.0,363,0.27193877,2
ASPM,0.0,364,0.010004009,130
DEGS2,0.0,365,0.045453016,32
STIL,0.0,366,0.012767995,100
RAD51AP1,0.0,367,0.0045389347,236
SLC39A6,0.0,368,0.16328564,7
CDCA3,0.0,369,0.013529782,97
KIF18B,0.0,370,0.048194803,30
FOXA1,0.0,371,0.2561495,3
CA12,0.0,372,0.07986358,16
MLPH,0.0,373,0.2796889,1
DLGAP5,0.0,374,0.021589702,69
FOXM1,0.0,375,0.01851392,80
NCAPG,0.0,376,0.017095689,83
AURKA,0.0,377,0.09115342,13
ORC6,0.0,378,0.03840397,41
GATA3,0.0,379,0.10310309,11
NDC80,0.0,380,0.027156945,62
TTK,0.0,381,0.037333086,42
GINS1,0.0,382,0.023848576,66
CYP2B7P,0.0,383,0.11664334,10
SCN4B,0.0,384,0.020728873,73
BUB1B,0.0,385,0.0017715626,359
ZBTB16,0.0,386,0.004487845,238
NMT2,0.0,387,0.0048416723,225
SLC9A3R1,0.0,388,0.011391865,115
DTL,0.0,389,0.029985497,54
NPNT,0.0,390,0.015770234,89
CREB3L4,0.0,391,0.05710606,23
DEFB132,0.0,392,0.0067626974,178
PBK,0.0,393,0.001989467,346
PSRC1,0.0,394,0.009143629,139
CKS2,0.0,395,0.0050811428,219
SOX11,0.0,396,0.05609629,24
STARD10,0.0,397,0.008832626,145
ZWINT,0.0,398,0.02782582,60
ATAD2,0.0,399,0.019284075,76
RSPH1,0.0,400,0.011828183,107
TSPAN1,0.0,401,0.010487241,124
CDC7,0.0,402,0.009166644,136
RACGAP1,0.0,403,0.0007917962,435
SPDEF,0.0,404,0.059536863,21
DNAJC12,0.0,405,0.018465538,81
SPAG5,0.0,406,0.017677305,82
KIF11,0.0,407,0.000507476,466
PTTG1,0.0,408,0.008759149,146
PAMR1,0.0,409,0.010845611,120
ACACB,0.0,410,0.0028706908,298
TF,0.0,411,0.0066662524,180
DCN,0.0,412,0.0,510
ARNT2,0.0,413,0.0047881105,226
EPB41L2,0.0,414,0.0,499
MICU3,0.0,415,0.0063543296,190
MYOM1,0.0,416,0.0032258225,280
GALNT15,0.0,417,0.00020605186,490
CALML5,0.0,418,0.032266144,50
TPX2,0.0,419,0.044672318,33
FBLN5,0.0,420,0.00063458935,451
ECM2,0.0,421,0.008088945,156
SLC12A8,0.0,422,0.0053478,214
CXCL12,0.0,423,0.0017579753,362
RHOQ,0.0,424,0.028392866,55
FOS,0.0,425,0.0041306904,248
PGM5-AS1,0.0,426,0.0012035422,399
MIR100HG,0.0,427,0.00986894,131
MAP1LC3C,0.0,428,0.0063856062,188
CFD,0.0,429,0.0057787946,199
ALDH1L1,0.0,430,0.005159896,217
CDH5,0.0,431,0.0029907585,294
EGFLAM,0.0,432,0.004748359,227
PCSK5,0.0,433,0.0015687252,370
MBNL1-AS1,0.0,434,0.00045851138,471
SCD,0.0,435,0.008101873,154
LRRN3,0.0,436,0.0012115914,397
SLITRK6,0.0,437,0.010111174,127
CAV2,0.0,438,0.00935829,134
PLIN4,0.0,439,0.002118542,337
BMPER,0.0,440,0.0054508466,212
CA4,0.0,441,0.0025208176,317
FOXO1,0.0,442,0.0015165798,377
